# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.005         	smoothSolver	1.000000e+00	7.703170e-02	2	1.000000e+00	8.441820e-02	2	false	GAMG	1.000000e+00	9.827810e-03	12	true
0.01          	smoothSolver	1.400480e-01	9.097490e-03	6	3.347230e-01	2.494420e-02	4	false	GAMG	1.305080e-02	1.143430e-04	11	true
0.015         	smoothSolver	2.008620e-02	1.471790e-03	5	1.973630e-01	1.635600e-02	4	false	GAMG	8.931250e-02	5.962900e-04	6	true
0.02          	smoothSolver	7.655080e-03	5.555220e-04	5	1.106470e-01	8.092040e-03	5	false	GAMG	1.377020e-01	1.133540e-03	5	true
0.025         	smoothSolver	5.474680e-03	4.701700e-04	5	8.872200e-02	7.847680e-03	5	false	GAMG	1.022300e-01	5.920900e-04	5	true
0.03          	smoothSolver	4.581870e-03	4.300980e-04	5	7.799080e-02	7.504570e-03	5	false	GAMG	9.262300e-02	5.307490e-04	5	true
0.035         	smoothSolver	4.122580e-03	4.062950e-04	5	6.986050e-02	4.468350e-03	6	false	GAMG	8.517690e-02	5.271900e-04	5	true
0.04          	smoothSolver	3.865880e-03	2.488200e-04	6	6.266680e-02	4.096200e-03	6	false	GAMG	7.683540e-02	5.137010e-04	5	true
0.045         	smoothSolver	3.611710e-03	2.379560e-04	6	5.788900e-02	3.861470e-03	6	false	GAMG	6.953040e-02	5.227220e-04	5	true
0.05          	smoothSolver	3.422120e-03	2.298330e-04	6	5.386950e-02	3.638850e-03	6	false	GAMG	6.335130e-02	5.294460e-04	5	true
0.055         	smoothSolver	3.279070e-03	2.232970e-04	6	5.046610e-02	3.433430e-03	6	false	GAMG	5.786020e-02	5.255440e-04	5	true
0.06          	smoothSolver	3.168190e-03	2.174370e-04	6	4.754710e-02	3.242970e-03	6	false	GAMG	5.335170e-02	5.127060e-04	5	true
0.065         	smoothSolver	3.072690e-03	2.117740e-04	6	4.492910e-02	3.060290e-03	6	false	GAMG	4.969160e-02	4.931610e-04	5	true
0.07          	smoothSolver	2.991760e-03	2.064980e-04	6	4.269350e-02	2.891500e-03	6	false	GAMG	4.656530e-02	2.679030e-04	6	true
0.075         	smoothSolver	2.921620e-03	2.014560e-04	6	4.082260e-02	2.750350e-03	6	false	GAMG	4.374570e-02	2.554670e-04	6	true
0.08          	smoothSolver	2.855670e-03	1.974190e-04	6	3.945640e-02	2.646870e-03	6	false	GAMG	4.209550e-02	2.535630e-04	6	true
0.085         	smoothSolver	2.797200e-03	1.938260e-04	6	3.829430e-02	2.562060e-03	6	false	GAMG	4.076290e-02	2.498190e-04	6	true
0.09          	smoothSolver	2.744600e-03	1.906490e-04	6	3.719620e-02	2.487570e-03	6	false	GAMG	3.953750e-02	2.498270e-04	6	true
0.095         	smoothSolver	2.694620e-03	1.875810e-04	6	3.620090e-02	2.419760e-03	6	false	GAMG	3.813960e-02	2.520580e-04	6	true
0.1           	smoothSolver	2.644610e-03	1.846070e-04	6	3.535930e-02	2.360940e-03	6	false	GAMG	3.679210e-02	2.613870e-04	6	true
