# y+ ()         
# Time          	patch           	min             	max             	average         
0.005           	airfoil	5.48821080e-07	2.37229094e-05	5.51645985e-06
0.01            	airfoil	3.61532612e-05	1.12773140e-03	2.53556681e-04
0.015           	airfoil	4.32910562e-05	8.36644802e-04	2.14410488e-04
0.02            	airfoil	2.38715284e-05	6.34080689e-04	2.23897135e-04
0.025           	airfoil	2.69219308e-05	8.47603925e-04	2.58790519e-04
0.03            	airfoil	2.08951211e-05	1.05486009e-03	2.87005925e-04
0.035           	airfoil	3.02671937e-05	1.33356086e-03	3.11736127e-04
0.04            	airfoil	3.62002841e-05	1.57646509e-03	3.29556622e-04
0.045           	airfoil	4.39123131e-05	1.79163532e-03	3.39882352e-04
0.05            	airfoil	3.58801840e-05	1.97551870e-03	3.43814638e-04
0.055           	airfoil	1.40093597e-05	2.13239285e-03	3.43396685e-04
0.06            	airfoil	3.69018211e-05	2.26453661e-03	3.40010817e-04
0.065           	airfoil	2.90473246e-05	2.37580668e-03	3.32548769e-04
0.07            	airfoil	2.75456024e-05	2.46661048e-03	3.22882517e-04
0.075           	airfoil	1.66483250e-05	2.53967290e-03	3.19871445e-04
0.08            	airfoil	1.47888369e-05	2.59310864e-03	3.23928307e-04
0.085           	airfoil	1.22533283e-05	2.62843340e-03	3.30303793e-04
0.09            	airfoil	7.83415510e-06	2.64587237e-03	3.42320870e-04
0.095           	airfoil	1.55645952e-05	2.64592361e-03	3.60302280e-04
0.1             	airfoil	1.86366175e-05	2.62885495e-03	3.84360933e-04
0.105           	airfoil	1.63388256e-05	2.59455628e-03	4.12438728e-04
0.11            	airfoil	1.27855485e-05	2.54353417e-03	4.38752136e-04
0.115           	airfoil	2.17495639e-05	2.47632376e-03	4.63830547e-04
0.12            	airfoil	3.68896913e-05	2.39029636e-03	4.88252007e-04
0.125           	airfoil	2.13236386e-05	2.28697820e-03	5.10871012e-04
0.13            	airfoil	4.08914415e-05	2.16579948e-03	5.31642852e-04
0.135           	airfoil	3.02201816e-05	2.08121665e-03	5.51236769e-04
0.14            	airfoil	3.69792820e-05	2.19581102e-03	5.71342291e-04
0.145           	airfoil	3.09127497e-05	2.31274665e-03	5.90331214e-04
0.15            	airfoil	2.64261390e-05	2.43011901e-03	6.08032982e-04
0.155           	airfoil	1.67912331e-05	2.54781513e-03	6.24708806e-04
0.16            	airfoil	3.37962535e-05	2.66590573e-03	6.40720492e-04
0.165           	airfoil	3.16715832e-05	2.78440890e-03	6.55669295e-04
0.17            	airfoil	2.70129964e-05	2.90397227e-03	6.70332126e-04
0.175           	airfoil	2.72882538e-05	3.02540353e-03	6.84644305e-04
0.18            	airfoil	2.64483992e-05	3.14757502e-03	6.98440397e-04
0.185           	airfoil	3.61696339e-05	3.27095645e-03	7.11930799e-04
0.19            	airfoil	3.23388752e-05	3.39627004e-03	7.25197985e-04
0.195           	airfoil	3.25310828e-05	3.52440689e-03	7.38269094e-04
0.2             	airfoil	3.04588364e-05	3.65628950e-03	7.51705549e-04
0.205           	airfoil	4.16632685e-05	3.79287663e-03	7.64971829e-04
0.21            	airfoil	2.23171475e-05	3.93532245e-03	7.78428675e-04
0.215           	airfoil	3.08330946e-05	4.08484807e-03	7.92577950e-04
0.22            	airfoil	3.14005915e-05	4.24453777e-03	8.06921311e-04
0.225           	airfoil	6.30267111e-05	4.41457846e-03	8.21376674e-04
0.23            	airfoil	5.42493748e-05	4.59569389e-03	8.35862933e-04
0.235           	airfoil	6.25218526e-05	4.78886824e-03	8.50384344e-04
0.24            	airfoil	4.63682800e-05	4.99489175e-03	8.65028526e-04
0.245           	airfoil	5.21930854e-05	5.21429005e-03	8.80091819e-04
0.25            	airfoil	1.55971701e-05	5.44726414e-03	8.95589077e-04
0.255           	airfoil	6.45582383e-05	5.70661751e-03	9.14013158e-04
0.26            	airfoil	5.61318004e-05	5.96596639e-03	9.30721296e-04
0.265           	airfoil	6.55796580e-05	6.25141377e-03	9.49625278e-04
0.27            	airfoil	9.10292599e-05	6.53367712e-03	9.66724598e-04
0.275           	airfoil	1.34273440e-04	6.84013315e-03	9.86412541e-04
0.28            	airfoil	1.83775490e-04	7.15362825e-03	1.00646054e-03
0.285           	airfoil	1.93883816e-04	7.45838998e-03	1.02478037e-03
0.29            	airfoil	1.87345541e-04	7.78503376e-03	1.04551399e-03
0.295           	airfoil	1.45610034e-04	8.11980280e-03	1.06693854e-03
0.3             	airfoil	4.03192491e-05	8.45422037e-03	1.08856508e-03
0.305           	airfoil	1.79871192e-04	8.78630515e-03	1.11057835e-03
0.31            	airfoil	1.38016679e-04	9.11422461e-03	1.13315789e-03
0.315           	airfoil	1.02040012e-04	9.43635103e-03	1.15582555e-03
0.32            	airfoil	1.96698362e-04	9.75131904e-03	1.17867542e-03
0.325           	airfoil	2.28655545e-04	1.00580289e-02	1.20157386e-03
0.33            	airfoil	1.72104409e-04	1.03556390e-02	1.22450666e-03
0.335           	airfoil	5.63343755e-05	1.06435344e-02	1.24738567e-03
0.34            	airfoil	1.63239056e-04	1.09212962e-02	1.27072084e-03
0.345           	airfoil	2.42770797e-04	1.11886765e-02	1.29401645e-03
0.35            	airfoil	3.05267668e-04	1.14455730e-02	1.31729753e-03
0.355           	airfoil	3.58863899e-04	1.16920015e-02	1.34056194e-03
0.36            	airfoil	2.99023412e-04	1.19280711e-02	1.36379474e-03
0.365           	airfoil	1.71237714e-04	1.21611006e-02	1.38696389e-03
0.37            	airfoil	1.77212392e-04	1.23892536e-02	1.41017355e-03
0.375           	airfoil	1.46614239e-04	1.26075955e-02	1.43334906e-03
0.38            	airfoil	3.35730115e-04	1.28164133e-02	1.45674505e-03
0.385           	airfoil	3.99323281e-04	1.30160306e-02	1.48004412e-03
0.39            	airfoil	3.80831474e-04	1.32067894e-02	1.50322306e-03
0.395           	airfoil	2.89200701e-04	1.33890494e-02	1.52627897e-03
0.4             	airfoil	1.35408397e-04	1.35718496e-02	1.54917712e-03
0.405           	airfoil	2.17597404e-04	1.37492385e-02	1.57211406e-03
0.41            	airfoil	2.93377198e-04	1.39189481e-02	1.59492920e-03
0.415           	airfoil	2.66555779e-04	1.40813174e-02	1.61754939e-03
0.42            	airfoil	2.36587239e-04	1.42366805e-02	1.63995197e-03
0.425           	airfoil	2.02073298e-04	1.43853596e-02	1.66208624e-03
0.43            	airfoil	1.60062335e-04	1.45276655e-02	1.68384607e-03
0.435           	airfoil	1.01630834e-04	1.46638979e-02	1.70514376e-03
0.44            	airfoil	1.97654107e-05	1.47943446e-02	1.72589302e-03
0.445           	airfoil	2.74526961e-05	1.49275210e-02	1.75016375e-03
0.45            	airfoil	3.01091304e-05	1.50467712e-02	1.77476246e-03
0.455           	airfoil	2.89569087e-05	1.51685113e-02	1.79995536e-03
0.46            	airfoil	2.45422654e-05	1.52777440e-02	1.82484499e-03
0.465           	airfoil	2.41330691e-05	1.53893310e-02	1.85021549e-03
0.47            	airfoil	4.40896288e-05	1.54895765e-02	1.87536626e-03
0.475           	airfoil	1.71060827e-05	1.55920787e-02	1.90080147e-03
0.48            	airfoil	2.44944100e-05	1.56842663e-02	1.92590268e-03
0.485           	airfoil	2.57595178e-05	1.57786268e-02	1.95128302e-03
0.49            	airfoil	5.41602725e-05	1.58635827e-02	1.97639242e-03
0.495           	airfoil	2.23170364e-05	1.59506363e-02	2.00184092e-03
0.5             	airfoil	5.53416521e-05	1.60291018e-02	2.02699248e-03
0.505           	airfoil	1.66923949e-05	1.61046982e-02	2.05203346e-03
0.51            	airfoil	4.86773047e-05	1.61823355e-02	2.07741121e-03
0.515           	airfoil	4.75977745e-05	1.62523668e-02	2.10257258e-03
0.52            	airfoil	5.15216867e-05	1.63199391e-02	2.12765797e-03
0.525           	airfoil	6.30279850e-05	1.63851627e-02	2.15266583e-03
0.53            	airfoil	6.60705245e-05	1.64481327e-02	2.17778732e-03
0.535           	airfoil	7.32199319e-05	1.65089508e-02	2.20285527e-03
0.54            	airfoil	5.44585666e-05	1.65677120e-02	2.22783512e-03
0.545           	airfoil	5.14865863e-05	1.66245054e-02	2.25290859e-03
0.55            	airfoil	2.89743425e-05	1.66794142e-02	2.27792198e-03
0.555           	airfoil	4.94753019e-05	1.67325161e-02	2.30308537e-03
0.56            	airfoil	5.00215213e-05	1.67838841e-02	2.32838617e-03
0.565           	airfoil	6.07931300e-05	1.68335878e-02	2.35374593e-03
0.57            	airfoil	3.68736594e-05	1.68816930e-02	2.37893567e-03
0.575           	airfoil	8.54924999e-05	1.69282621e-02	2.40429665e-03
0.58            	airfoil	3.50693566e-05	1.69733549e-02	2.42950074e-03
0.585           	airfoil	6.61621625e-05	1.70170281e-02	2.45481454e-03
0.59            	airfoil	5.00088646e-05	1.70593361e-02	2.48007704e-03
0.595           	airfoil	4.06450234e-05	1.71003321e-02	2.50530648e-03
0.6             	airfoil	7.92420022e-05	1.71400670e-02	2.53064069e-03
0.605           	airfoil	5.02972340e-05	1.71785898e-02	2.55587899e-03
0.61            	airfoil	6.84951518e-05	1.72159485e-02	2.58117961e-03
0.615           	airfoil	2.13345115e-05	1.72521896e-02	2.60655376e-03
0.62            	airfoil	7.39071274e-05	1.72873578e-02	2.63196488e-03
0.625           	airfoil	8.54689069e-05	1.73214969e-02	2.65732890e-03
0.63            	airfoil	4.52842872e-05	1.73546498e-02	2.68266398e-03
0.635           	airfoil	7.42669342e-05	1.73868587e-02	2.70804351e-03
0.64            	airfoil	6.58852944e-05	1.74181638e-02	2.73338563e-03
0.645           	airfoil	5.12397830e-05	1.74486053e-02	2.75869445e-03
0.65            	airfoil	3.08665662e-05	1.74782225e-02	2.78398379e-03
0.655           	airfoil	4.97070468e-05	1.75070537e-02	2.80937889e-03
0.66            	airfoil	3.06960586e-05	1.75351359e-02	2.83472210e-03
0.665           	airfoil	9.44815697e-05	1.75625055e-02	2.86013833e-03
0.67            	airfoil	5.63219654e-05	1.75891975e-02	2.88548474e-03
0.675           	airfoil	2.80799796e-05	1.76152459e-02	2.91071871e-03
