# y+ ()         
# Time          	patch           	min             	max             	average         
0.005           	airfoil	1.89678472e-08	5.53795764e-06	3.32274144e-07
0.01            	airfoil	4.12386650e-06	4.16552316e-04	6.70407181e-05
0.015           	airfoil	9.14829433e-08	4.14607432e-04	5.14036909e-05
0.02            	airfoil	8.66997538e-07	2.24035388e-04	4.12588067e-05
0.025           	airfoil	2.11695569e-06	2.90060697e-04	5.27721389e-05
0.03            	airfoil	2.97611284e-06	3.94619857e-04	6.84948799e-05
0.035           	airfoil	4.63196496e-06	4.64046038e-04	8.19140895e-05
0.04            	airfoil	5.48906231e-06	5.05046625e-04	9.41151281e-05
0.045           	airfoil	6.02137196e-06	5.36513330e-04	1.07772521e-04
0.05            	airfoil	3.47868167e-06	5.67063990e-04	1.20983765e-04
0.055           	airfoil	6.29568393e-06	6.69856746e-04	1.34247776e-04
0.06            	airfoil	3.29181653e-06	7.79365218e-04	1.47650626e-04
0.065           	airfoil	3.99349515e-06	8.93543902e-04	1.61011140e-04
0.07            	airfoil	2.54916225e-06	1.02799760e-03	1.72311011e-04
0.075           	airfoil	6.39794992e-06	1.13829805e-03	1.84411181e-04
0.08            	airfoil	6.27990056e-06	1.23405653e-03	1.97836412e-04
0.085           	airfoil	2.18292063e-06	1.36194259e-03	2.08676391e-04
0.09            	airfoil	4.93306329e-06	1.48465000e-03	2.18607522e-04
0.095           	airfoil	4.77229732e-06	1.60229593e-03	2.28033467e-04
0.1             	airfoil	2.48751454e-06	1.72164730e-03	2.37256625e-04
0.105           	airfoil	7.58572311e-06	1.83887501e-03	2.47146587e-04
0.11            	airfoil	7.07664631e-06	1.95307802e-03	2.59159823e-04
0.115           	airfoil	1.31673764e-05	2.06321872e-03	2.70082760e-04
0.12            	airfoil	4.76949695e-06	2.16822729e-03	2.79846683e-04
0.125           	airfoil	7.04696136e-06	2.26713280e-03	2.88682466e-04
0.13            	airfoil	1.32385888e-05	2.36300068e-03	2.97342236e-04
0.135           	airfoil	1.34372397e-05	2.45837905e-03	3.05617224e-04
0.14            	airfoil	2.70703914e-07	2.55143345e-03	3.13726184e-04
0.145           	airfoil	1.21628131e-05	2.64108023e-03	3.21664175e-04
0.15            	airfoil	6.49627922e-06	2.72676341e-03	3.29875165e-04
0.155           	airfoil	1.16086791e-05	2.80831753e-03	3.38055889e-04
0.16            	airfoil	9.35062553e-06	2.88576438e-03	3.46341097e-04
0.165           	airfoil	8.02012096e-06	2.95917820e-03	3.54749412e-04
0.17            	airfoil	8.98578147e-06	3.02875044e-03	3.63428737e-04
0.175           	airfoil	5.29724665e-06	3.09475000e-03	3.72173201e-04
0.18            	airfoil	9.64093199e-06	3.15746756e-03	3.80853452e-04
0.185           	airfoil	5.65547453e-06	3.21719011e-03	3.89634980e-04
0.19            	airfoil	3.41393875e-06	3.27418195e-03	3.98627188e-04
0.195           	airfoil	7.08575854e-06	3.32867617e-03	4.07608228e-04
0.2             	airfoil	1.99951899e-06	3.38086852e-03	4.17042050e-04
0.205           	airfoil	6.86918431e-06	3.43091706e-03	4.27857980e-04
0.21            	airfoil	6.41853434e-06	3.47894154e-03	4.38790523e-04
0.215           	airfoil	2.31102666e-06	3.52502749e-03	4.49743320e-04
0.22            	airfoil	6.81650203e-06	3.56923851e-03	4.60796652e-04
0.225           	airfoil	6.70236575e-06	3.61162795e-03	4.71741870e-04
0.23            	airfoil	1.03840159e-05	3.65223928e-03	4.82529195e-04
0.235           	airfoil	7.37283624e-06	3.69111136e-03	4.93331751e-04
0.24            	airfoil	7.88886881e-06	3.72827972e-03	5.03894496e-04
0.245           	airfoil	1.24477442e-06	3.76377667e-03	5.14303254e-04
0.25            	airfoil	7.92684026e-07	3.79763351e-03	5.24545238e-04
0.255           	airfoil	3.27746155e-06	3.82987918e-03	5.34822918e-04
0.26            	airfoil	4.90266832e-06	3.86054320e-03	5.45051212e-04
0.265           	airfoil	6.54042543e-06	3.88965629e-03	5.55147137e-04
0.27            	airfoil	7.61411373e-06	3.92929299e-03	5.65220531e-04
0.275           	airfoil	3.43945958e-06	3.97133607e-03	5.75251576e-04
0.28            	airfoil	9.75356767e-06	4.02713523e-03	5.83706796e-04
0.285           	airfoil	1.04687482e-05	4.06575263e-03	5.94848174e-04
0.29            	airfoil	7.92603793e-06	4.09678361e-03	6.05749282e-04
0.295           	airfoil	4.97098020e-06	4.12383610e-03	6.16437245e-04
0.3             	airfoil	3.78938051e-06	4.13972321e-03	6.29710205e-04
0.305           	airfoil	1.55968965e-05	4.16515468e-03	6.41016866e-04
0.31            	airfoil	1.47364554e-05	4.18825680e-03	6.52061878e-04
0.315           	airfoil	1.33883670e-05	4.20844235e-03	6.63357429e-04
0.32            	airfoil	1.59819887e-05	4.22651308e-03	6.74585026e-04
0.325           	airfoil	5.23558739e-06	4.24305579e-03	6.85611681e-04
0.33            	airfoil	7.46284793e-06	4.25841041e-03	6.96744483e-04
0.335           	airfoil	1.37742114e-05	4.29065177e-03	7.09369529e-04
