# Force and moment coefficients
# dragDir     : (9.993908e-01 3.489903e-02 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-3.489903e-02 9.993908e-01 0.000000e+00)
# rollAxis    : (9.993908e-01 3.489903e-02 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-3.489903e-02 9.993908e-01 0.000000e+00)
# magUInf     : 3.660000e+01
# lRef        : 1.000000e+00
# Aref        : 1.500000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.005         	1.270243e+00	5.601926e-01	7.100508e-01	9.990543e-01	-2.881452e-01	1.287200e+00	-7.876724e-01	-7.492907e-02	9.526826e-02	-1.373100e-19	9.526826e-02	-9.526826e-02
0.01          	1.759449e-01	7.796727e-02	9.797766e-02	1.334026e-01	-1.066264e-05	1.334133e-01	-6.671196e-02	-1.000519e-02	1.319587e-02	-8.014286e-21	1.319587e-02	-1.319587e-02
0.015         	7.182788e-02	3.256783e-02	3.926005e-02	4.461477e-02	2.294060e-02	2.167416e-02	6.332190e-04	-3.346108e-03	5.387091e-03	-8.894576e-22	5.387091e-03	-5.387091e-03
0.02          	7.195063e-02	3.130569e-02	4.064494e-02	6.226161e-02	1.682234e-02	4.543927e-02	-1.430847e-02	-4.669621e-03	5.396297e-03	-4.187158e-22	5.396297e-03	-5.396297e-03
0.025         	8.775060e-02	3.644246e-02	5.130814e-02	9.910451e-02	6.854178e-03	9.225033e-02	-4.269808e-02	-7.432838e-03	6.581295e-03	-7.404329e-22	6.581295e-03	-6.581295e-03
0.03          	1.022963e-01	4.147581e-02	6.082047e-02	1.289645e-01	-1.268979e-04	1.290913e-01	-6.460912e-02	-9.672334e-03	7.672221e-03	-9.964561e-22	7.672221e-03	-7.672221e-03
0.035         	1.155943e-01	4.626308e-02	6.933119e-02	1.537874e-01	-5.185685e-03	1.589730e-01	-8.207937e-02	-1.153405e-02	8.669570e-03	-1.177584e-21	8.669570e-03	-8.669570e-03
0.04          	1.251325e-01	4.990174e-02	7.523080e-02	1.688604e-01	-7.626589e-03	1.764870e-01	-9.205679e-02	-1.266453e-02	9.384941e-03	-1.313528e-21	9.384941e-03	-9.384941e-03
0.045         	1.323470e-01	5.279200e-02	7.955503e-02	1.784202e-01	-8.624766e-03	1.870450e-01	-9.783487e-02	-1.338152e-02	9.926027e-03	-1.387934e-21	9.926027e-03	-9.926027e-03
0.05          	1.373939e-01	5.494548e-02	8.244842e-02	1.833529e-01	-8.137300e-03	1.914902e-01	-9.981377e-02	-1.375147e-02	1.030454e-02	-1.402011e-21	1.030454e-02	-1.030454e-02
0.055         	1.402057e-01	5.629333e-02	8.391235e-02	1.841268e-01	-6.221650e-03	1.903484e-01	-9.828503e-02	-1.380951e-02	1.051543e-02	-1.382784e-21	1.051543e-02	-1.051543e-02
0.06          	1.414815e-01	5.722449e-02	8.425698e-02	1.802166e-01	-3.468846e-03	1.836855e-01	-9.357715e-02	-1.351625e-02	1.061111e-02	-1.309945e-21	1.061111e-02	-1.061111e-02
0.065         	1.416824e-01	5.780228e-02	8.388008e-02	1.738520e-01	1.550573e-04	1.736969e-01	-8.677094e-02	-1.303890e-02	1.062618e-02	-1.193085e-21	1.062618e-02	-1.062618e-02
0.07          	1.408365e-01	5.814069e-02	8.269582e-02	1.637009e-01	3.942675e-03	1.597582e-01	-7.790778e-02	-1.227757e-02	1.056274e-02	-1.096521e-21	1.056274e-02	-1.056274e-02
0.075         	1.390732e-01	5.818889e-02	8.088431e-02	1.513028e-01	7.739645e-03	1.435632e-01	-6.791176e-02	-1.134771e-02	1.043049e-02	-1.033184e-21	1.043049e-02	-1.043049e-02
0.08          	1.366007e-01	5.789850e-02	7.870219e-02	1.386913e-01	1.162049e-02	1.270708e-01	-5.772516e-02	-1.040185e-02	1.024505e-02	-9.909387e-22	1.024505e-02	-1.024505e-02
0.085         	1.338789e-01	5.745508e-02	7.642383e-02	1.264583e-01	1.543428e-02	1.110241e-01	-4.779489e-02	-9.484376e-03	1.004092e-02	-9.429911e-22	1.004092e-02	-1.004092e-02
0.09          	1.311592e-01	5.693632e-02	7.422291e-02	1.152440e-01	1.906531e-02	9.617866e-02	-3.855668e-02	-8.643297e-03	9.836943e-03	-8.804405e-22	9.836943e-03	-9.836943e-03
0.095         	1.285473e-01	5.641639e-02	7.213090e-02	1.047634e-01	2.230214e-02	8.246124e-02	-3.007955e-02	-7.857253e-03	9.641047e-03	-7.926578e-22	9.641047e-03	-9.641047e-03
0.1           	1.260986e-01	5.591468e-02	7.018393e-02	9.512837e-02	2.493351e-02	7.019485e-02	-2.263067e-02	-7.134627e-03	9.457396e-03	-7.059718e-22	9.457396e-03	-9.457396e-03
0.105         	1.238492e-01	5.539791e-02	6.845131e-02	8.702264e-02	2.690291e-02	6.011974e-02	-1.660841e-02	-6.526698e-03	9.288691e-03	-6.440011e-22	9.288691e-03	-9.288691e-03
0.11          	1.218791e-01	5.486441e-02	6.701473e-02	8.100216e-02	2.819316e-02	5.280900e-02	-1.230792e-02	-6.075162e-03	9.140936e-03	-5.926218e-22	9.140936e-03	-9.140936e-03
0.115         	1.202532e-01	5.430116e-02	6.595201e-02	7.767232e-02	2.883796e-02	4.883436e-02	-9.998197e-03	-5.825424e-03	9.018988e-03	-5.385669e-22	9.018988e-03	-9.018988e-03
0.12          	1.189911e-01	5.368648e-02	6.530462e-02	7.745428e-02	2.883691e-02	4.861736e-02	-9.890225e-03	-5.809071e-03	8.924332e-03	-4.779341e-22	8.924332e-03	-8.924332e-03
0.125         	1.180736e-01	5.301278e-02	6.506080e-02	8.032014e-02	2.818259e-02	5.213755e-02	-1.197748e-02	-6.024011e-03	8.855519e-03	-4.081043e-22	8.855519e-03	-8.855519e-03
0.13          	1.174656e-01	5.227028e-02	6.519534e-02	8.616703e-02	2.691149e-02	5.925555e-02	-1.617203e-02	-6.462528e-03	8.809922e-03	-3.346536e-22	8.809922e-03	-8.809922e-03
0.135         	1.171065e-01	5.145481e-02	6.565169e-02	9.464586e-02	2.509161e-02	6.955425e-02	-2.223132e-02	-7.098439e-03	8.782987e-03	-2.631116e-22	8.782987e-03	-8.782987e-03
0.14          	1.169300e-01	5.057638e-02	6.635362e-02	1.051816e-01	2.288140e-02	8.230021e-02	-2.970941e-02	-7.888621e-03	8.769751e-03	-1.940154e-22	8.769751e-03	-8.769751e-03
0.145         	1.168331e-01	4.962569e-02	6.720740e-02	1.172114e-01	2.048337e-02	9.672799e-02	-3.812231e-02	-8.790853e-03	8.762481e-03	-1.233199e-22	8.762481e-03	-8.762481e-03
0.15          	1.167921e-01	4.862717e-02	6.816492e-02	1.302516e-01	1.796896e-02	1.122827e-01	-4.715685e-02	-9.768872e-03	8.759407e-03	-5.331632e-23	8.759407e-03	-8.759407e-03
0.155         	1.167376e-01	4.759977e-02	6.913781e-02	1.435869e-01	1.553475e-02	1.280522e-01	-5.625872e-02	-1.076902e-02	8.755319e-03	1.698109e-23	8.755319e-03	-8.755319e-03
0.16          	1.166155e-01	4.656465e-02	7.005088e-02	1.565749e-01	1.330978e-02	1.432651e-01	-6.497765e-02	-1.174312e-02	8.746164e-03	8.753158e-23	8.746164e-03	-8.746164e-03
0.165         	1.163779e-01	4.553513e-02	7.084281e-02	1.687178e-01	1.139290e-02	1.573249e-01	-7.296601e-02	-1.265384e-02	8.728346e-03	1.598401e-22	8.728346e-03	-8.728346e-03
0.17          	1.159636e-01	4.453218e-02	7.143146e-02	1.793285e-01	9.888665e-03	1.694399e-01	-7.977560e-02	-1.344964e-02	8.697273e-03	2.324829e-22	8.697273e-03	-8.697273e-03
0.175         	1.153430e-01	4.356069e-02	7.178234e-02	1.881444e-01	8.867701e-03	1.792767e-01	-8.520448e-02	-1.411083e-02	8.650728e-03	3.059871e-22	8.650728e-03	-8.650728e-03
0.18          	1.144978e-01	4.262753e-02	7.187029e-02	1.949517e-01	8.356388e-03	1.865954e-01	-8.911949e-02	-1.462138e-02	8.587337e-03	3.803834e-22	8.587337e-03	-8.587337e-03
0.185         	1.134205e-01	4.173696e-02	7.168355e-02	1.996439e-01	8.363740e-03	1.912801e-01	-9.145820e-02	-1.497329e-02	8.506538e-03	4.552409e-22	8.506538e-03	-8.506538e-03
0.19          	1.121291e-01	4.089247e-02	7.123665e-02	2.022945e-01	8.854280e-03	1.934402e-01	-9.229297e-02	-1.517209e-02	8.409684e-03	5.300186e-22	8.409684e-03	-8.409684e-03
0.195         	1.106657e-01	4.009886e-02	7.056682e-02	2.031198e-01	9.737672e-03	1.933821e-01	-9.182221e-02	-1.523398e-02	8.299926e-03	6.040131e-22	8.299926e-03	-8.299926e-03
0.2           	1.090789e-01	3.935195e-02	6.972692e-02	2.024998e-01	1.090618e-02	1.915936e-01	-9.034373e-02	-1.518749e-02	8.180916e-03	6.768711e-22	8.180916e-03	-8.180916e-03
0.205         	1.074301e-01	3.865082e-02	6.877926e-02	2.008563e-01	1.224206e-02	1.886142e-01	-8.818606e-02	-1.506422e-02	8.057256e-03	7.478620e-22	8.057256e-03	-8.057256e-03
0.21          	1.057877e-01	3.799127e-02	6.779646e-02	1.987013e-01	1.361255e-02	1.850887e-01	-8.573808e-02	-1.490259e-02	7.934080e-03	8.169861e-22	7.934080e-03	-7.934080e-03
0.215         	1.041908e-01	3.736404e-02	6.682680e-02	1.964184e-01	1.492832e-02	1.814901e-01	-8.328089e-02	-1.473138e-02	7.814313e-03	8.837490e-22	7.814313e-03	-7.814313e-03
0.22          	1.026946e-01	3.676210e-02	6.593249e-02	1.944693e-01	1.607641e-02	1.783929e-01	-8.115824e-02	-1.458520e-02	7.702094e-03	9.483598e-22	7.702094e-03	-7.702094e-03
0.225         	1.013201e-01	3.617813e-02	6.514194e-02	1.930921e-01	1.702895e-02	1.760631e-01	-7.951709e-02	-1.448191e-02	7.599006e-03	1.010663e-21	7.599006e-03	-7.599006e-03
0.23          	1.000923e-01	3.560848e-02	6.448385e-02	1.925025e-01	1.773608e-02	1.747664e-01	-7.851516e-02	-1.443769e-02	7.506925e-03	1.070835e-21	7.506925e-03	-7.506925e-03
0.235         	9.900211e-02	3.504700e-02	6.395511e-02	1.927207e-01	1.821407e-02	1.745066e-01	-7.814629e-02	-1.445405e-02	7.425159e-03	1.129053e-21	7.425159e-03	-7.425159e-03
0.24          	9.805003e-02	3.449159e-02	6.355844e-02	1.937790e-01	1.846366e-02	1.753153e-01	-7.842584e-02	-1.453342e-02	7.353752e-03	1.185559e-21	7.353752e-03	-7.353752e-03
0.245         	9.720946e-02	3.393984e-02	6.326962e-02	1.955319e-01	1.854454e-02	1.769873e-01	-7.922139e-02	-1.466489e-02	7.290709e-03	1.240614e-21	7.290709e-03	-7.290709e-03
0.25          	9.645991e-02	3.339167e-02	6.306824e-02	1.978438e-01	1.849159e-02	1.793522e-01	-8.043032e-02	-1.483829e-02	7.234493e-03	1.294363e-21	7.234493e-03	-7.234493e-03
0.255         	9.576757e-02	3.284679e-02	6.292077e-02	2.004932e-01	1.836733e-02	1.821259e-01	-8.187927e-02	-1.503699e-02	7.182568e-03	1.347302e-21	7.182568e-03	-7.182568e-03
0.26          	9.511275e-02	3.230986e-02	6.280290e-02	2.032869e-01	1.821689e-02	1.850701e-01	-8.342658e-02	-1.524652e-02	7.133456e-03	1.399416e-21	7.133456e-03	-7.133456e-03
0.265         	9.447392e-02	3.178306e-02	6.269086e-02	2.060520e-01	1.808225e-02	1.879697e-01	-8.494374e-02	-1.545390e-02	7.085544e-03	1.450801e-21	7.085544e-03	-7.085544e-03
0.27          	9.383879e-02	3.126994e-02	6.256885e-02	2.086594e-01	1.798940e-02	1.906700e-01	-8.634028e-02	-1.564945e-02	7.037909e-03	1.501535e-21	7.037909e-03	-7.037909e-03
0.275         	9.319655e-02	3.077289e-02	6.242366e-02	2.110052e-01	1.795971e-02	1.930454e-01	-8.754287e-02	-1.582539e-02	6.989742e-03	1.551417e-21	6.989742e-03	-6.989742e-03
0.28          	9.253639e-02	3.029248e-02	6.224391e-02	2.130096e-01	1.800748e-02	1.950021e-01	-8.849731e-02	-1.597572e-02	6.940229e-03	1.600647e-21	6.940229e-03	-6.940229e-03
0.285         	9.186589e-02	2.983108e-02	6.203481e-02	2.146915e-01	1.811780e-02	1.965737e-01	-8.922797e-02	-1.610187e-02	6.889942e-03	1.649036e-21	6.889942e-03	-6.889942e-03
0.29          	9.118756e-02	2.938672e-02	6.180084e-02	2.160941e-01	1.828365e-02	1.978105e-01	-8.976340e-02	-1.620706e-02	6.839067e-03	1.696539e-21	6.839067e-03	-6.839067e-03
0.295         	9.051584e-02	2.896097e-02	6.155487e-02	2.172926e-01	1.847387e-02	1.988188e-01	-9.017244e-02	-1.629695e-02	6.788688e-03	1.743003e-21	6.788688e-03	-6.788688e-03
0.3           	8.985249e-02	2.855062e-02	6.130187e-02	2.183417e-01	1.868161e-02	1.996601e-01	-9.048924e-02	-1.637563e-02	6.738936e-03	1.788483e-21	6.738936e-03	-6.738936e-03
0.305         	8.921134e-02	2.815602e-02	6.105531e-02	2.193286e-01	1.888065e-02	2.004480e-01	-9.078366e-02	-1.644965e-02	6.690850e-03	1.832864e-21	6.690850e-03	-6.690850e-03
0.31          	8.860458e-02	2.777533e-02	6.082925e-02	2.203595e-01	1.904305e-02	2.013164e-01	-9.113669e-02	-1.652696e-02	6.645344e-03	1.875969e-21	6.645344e-03	-6.645344e-03
0.315         	8.803141e-02	2.740612e-02	6.062529e-02	2.214612e-01	1.916713e-02	2.022940e-01	-9.156345e-02	-1.660959e-02	6.602356e-03	1.917806e-21	6.602356e-03	-6.602356e-03
0.32          	8.749847e-02	2.704660e-02	6.045188e-02	2.227019e-01	1.924156e-02	2.034603e-01	-9.210937e-02	-1.670264e-02	6.562385e-03	1.958482e-21	6.562385e-03	-6.562385e-03
