# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.005         	smoothSolver	1.000000e+00	9.882990e-02	2	1.000000e+00	9.826310e-02	2	false	GAMG	1.000000e+00	7.264290e-03	12	true
0.01          	smoothSolver	1.398400e-01	9.111500e-03	6	3.242290e-01	2.342200e-02	4	false	GAMG	1.120590e-02	1.019010e-04	11	true
0.015         	smoothSolver	1.786880e-02	1.322720e-03	5	1.488010e-01	1.160240e-02	4	false	GAMG	8.079370e-02	4.756270e-04	6	true
0.02          	smoothSolver	7.196850e-03	5.387930e-04	5	8.218210e-02	6.468170e-03	5	false	GAMG	1.288890e-01	9.778230e-04	5	true
0.025         	smoothSolver	5.273990e-03	4.633620e-04	5	6.734850e-02	6.183960e-03	5	false	GAMG	9.899390e-02	5.942120e-04	5	true
0.03          	smoothSolver	4.427650e-03	4.239530e-04	5	6.023090e-02	5.878000e-03	5	false	GAMG	8.925260e-02	5.236710e-04	5	true
0.035         	smoothSolver	4.021320e-03	4.014900e-04	5	5.424470e-02	3.498750e-03	6	false	GAMG	8.201730e-02	5.172950e-04	5	true
0.04          	smoothSolver	3.778820e-03	2.472860e-04	6	4.874970e-02	3.214820e-03	6	false	GAMG	7.365510e-02	5.067370e-04	5	true
0.045         	smoothSolver	3.557830e-03	2.373460e-04	6	4.522830e-02	3.043080e-03	6	false	GAMG	6.702610e-02	5.191290e-04	5	true
0.05          	smoothSolver	3.391560e-03	2.298880e-04	6	4.233110e-02	2.872540e-03	6	false	GAMG	6.106570e-02	5.310620e-04	5	true
0.055         	smoothSolver	3.261490e-03	2.238490e-04	6	3.999610e-02	2.726060e-03	6	false	GAMG	5.595140e-02	5.271370e-04	5	true
0.06          	smoothSolver	3.156800e-03	2.181200e-04	6	3.787400e-02	2.587240e-03	6	false	GAMG	5.207310e-02	5.195160e-04	5	true
